period_id,weight,hour_period
6,462.8822,2025-07-12 22:11:08.662573+00:00
6,238.0764,2025-07-12 22:11:15.964507+00:00
6,238.4459,2025-07-12 22:11:23.276189+00:00
6,240.0227,2025-07-12 22:11:30.579089+00:00
6,242.4601,2025-07-12 22:11:37.887598+00:00
6,325.7543,2025-07-12 22:11:45.284919+00:00
6,428.2417,2025-07-12 22:12:29.128773+00:00
6,425.1537,2025-07-12 22:12:36.435437+00:00
6,425.2034,2025-07-12 22:12:43.731417+00:00
6,425.8865,2025-07-12 22:12:51.045818+00:00
6,425.7935,2025-07-12 22:12:58.351304+00:00
6,571.7881,2025-07-12 22:13:05.667753+00:00
6,431.9487,2025-07-12 22:13:12.966642+00:00
6,432.4797,2025-07-12 22:13:20.267118+00:00
6,486.8158,2025-07-12 22:13:34.875807+00:00
6,444.7686,2025-07-12 22:13:42.182463+00:00
7,444.7455,2025-07-12 22:15:14.378479+00:00
7,443.6461,2025-07-12 22:15:21.705337+00:00
7,444.3159,2025-07-12 22:15:29.007409+00:00
7,444.592,2025-07-12 22:15:36.316979+00:00
7,447.4575,2025-07-12 22:15:43.622155+00:00
7,445.7411,2025-07-12 22:15:50.929291+00:00
7,446.556,2025-07-12 22:15:58.222105+00:00
7,445.6421,2025-07-12 22:16:05.520390+00:00
7,445.7514,2025-07-12 22:16:12.833490+00:00
7,445.9876,2025-07-12 22:16:20.141511+00:00
7,447.836,2025-07-12 22:16:27.436224+00:00
7,447.085,2025-07-12 22:16:34.749008+00:00
7,447.0107,2025-07-12 22:16:42.046403+00:00
7,446.7484,2025-07-12 22:16:49.352058+00:00
7,447.9221,2025-07-12 22:16:56.662059+00:00
7,448.7419,2025-07-12 22:17:03.971035+00:00
7,451.1916,2025-07-12 22:17:11.266719+00:00
7,452.5705,2025-07-12 22:17:18.565896+00:00
7,453.5149,2025-07-12 22:17:25.875616+00:00
7,452.3299,2025-07-12 22:17:33.182141+00:00
7,399.7998,2025-07-12 22:17:40.579130+00:00
7,737.8667,2025-07-12 22:17:47.888312+00:00
7,836.7785,2025-07-12 22:17:55.198551+00:00
7,837.2361,2025-07-12 22:18:02.501368+00:00
7,837.9113,2025-07-12 22:18:09.809164+00:00
7,835.78,2025-07-12 22:18:17.110204+00:00
7,837.8926,2025-07-12 22:18:24.408702+00:00
7,835.6122,2025-07-12 22:18:31.704191+00:00
7,837.1692,2025-07-12 22:18:39.010662+00:00
7,833.7481,2025-07-12 22:18:46.316940+00:00
7,834.5453,2025-07-12 22:18:53.630211+00:00
7,1030.9747,2025-07-12 22:19:01.031346+00:00
7,1094.0575,2025-07-12 22:19:08.335859+00:00
7,1030.2921,2025-07-12 22:19:15.628249+00:00
7,1026.9576,2025-07-12 22:19:22.930751+00:00
7,1027.209,2025-07-12 22:19:30.229584+00:00
7,1026.7366,2025-07-12 22:19:37.536212+00:00
7,1024.3209,2025-07-12 22:19:44.830881+00:00
7,1021.5838,2025-07-12 22:19:52.135221+00:00
7,1227.9434,2025-07-12 22:19:59.431715+00:00
7,1227.0015,2025-07-12 22:20:06.747797+00:00
7,1227.3365,2025-07-12 22:20:14.065182+00:00
7,1234.0317,2025-07-12 22:20:21.376068+00:00
7,1234.5071,2025-07-12 22:20:28.685078+00:00
7,1230.9221,2025-07-12 22:20:35.993635+00:00
7,1231.3256,2025-07-12 22:20:43.300995+00:00
7,1232.6396,2025-07-12 22:20:50.591078+00:00
7,1231.8108,2025-07-12 22:20:57.907317+00:00
7,1229.0546,2025-07-12 22:21:05.217995+00:00
7,1226.4346,2025-07-12 22:21:12.517445+00:00
7,1493.9524,2025-07-12 22:21:19.916934+00:00
7,1443.1732,2025-07-12 22:21:27.213364+00:00
7,1447.2366,2025-07-12 22:21:34.508765+00:00
7,1450.0559,2025-07-12 22:21:41.821910+00:00
7,1449.9501,2025-07-12 22:21:49.125074+00:00
7,1448.8463,2025-07-12 22:21:56.423000+00:00
7,1448.4841,2025-07-12 22:22:03.723864+00:00
7,1450.2335,2025-07-12 22:22:11.033158+00:00
7,1544.6661,2025-07-12 22:22:18.338218+00:00
7,1541.1943,2025-07-12 22:22:25.630947+00:00
7,1540.866,2025-07-12 22:22:32.928253+00:00
7,1538.5374,2025-07-12 22:22:40.228970+00:00
7,1539.8523,2025-07-12 22:22:47.525491+00:00
7,1542.0835,2025-07-12 22:22:54.836462+00:00
7,1586.4952,2025-07-12 22:23:02.143983+00:00
7,1586.9451,2025-07-12 22:23:09.452264+00:00
7,1586.3112,2025-07-12 22:23:16.746030+00:00
7,1581.5732,2025-07-12 22:23:24.064269+00:00
7,1626.6149,2025-07-12 22:23:31.372942+00:00
7,1591.7146,2025-07-12 22:23:38.680269+00:00
7,1588.2875,2025-07-12 22:23:45.969578+00:00
7,1586.791,2025-07-12 22:23:53.267073+00:00
7,1586.7148,2025-07-12 22:24:00.569459+00:00
7,1584.6592,2025-07-12 22:24:07.884666+00:00
7,1629.5326,2025-07-12 22:24:15.194302+00:00
7,1631.7653,2025-07-12 22:24:22.505539+00:00
7,1631.6152,2025-07-12 22:24:29.809901+00:00
7,1796.0098,2025-07-12 22:24:37.496411+00:00
7,1911.5164,2025-07-12 22:24:45.018218+00:00
7,1633.7219,2025-07-12 22:24:52.362625+00:00
7,1635.054,2025-07-12 22:24:59.681837+00:00
7,1634.8809,2025-07-12 22:25:06.983787+00:00
7,1634.3439,2025-07-12 22:25:14.310514+00:00
7,1632.5979,2025-07-12 22:25:21.615202+00:00
7,1631.0291,2025-07-12 22:25:28.920896+00:00
7,1631.25,2025-07-12 22:25:36.228945+00:00
7,1631.8282,2025-07-12 22:25:43.553218+00:00
7,1633.03,2025-07-12 22:25:50.863874+00:00
7,1636.9526,2025-07-12 22:25:58.170250+00:00
7,1635.2288,2025-07-12 22:26:05.464496+00:00
7,1632.1663,2025-07-12 22:26:12.793563+00:00
7,1630.4351,2025-07-12 22:26:20.088941+00:00
7,1632.3115,2025-07-12 22:26:27.398367+00:00
7,1648.4261,2025-07-12 22:26:34.708944+00:00
8,2384.6428,2025-07-12 22:29:36.090912+00:00
8,1331.9268,2025-07-12 22:29:43.399996+00:00
8,427.4223,2025-07-12 22:29:58.016570+00:00
8,325.5441,2025-07-12 22:30:05.327842+00:00
8,561.2467,2025-07-12 22:30:12.628460+00:00
8,513.2972,2025-07-12 22:30:19.931760+00:00
8,340.862,2025-07-12 22:30:27.246190+00:00
8,341.1263,2025-07-12 22:30:34.552922+00:00
8,345.1148,2025-07-12 22:30:41.868895+00:00
8,369.1134,2025-07-12 22:30:49.168944+00:00
8,351.1771,2025-07-12 22:30:56.471854+00:00
8,484.5138,2025-07-12 22:31:03.772933+00:00
8,520.9671,2025-07-12 22:31:11.084918+00:00
8,534.4253,2025-07-12 22:31:18.384720+00:00
8,582.1701,2025-07-12 22:31:25.691992+00:00
8,579.3946,2025-07-12 22:31:32.993005+00:00
8,506.3904,2025-07-12 22:31:40.307288+00:00
8,455.1743,2025-07-12 22:31:47.596190+00:00
8,468.6472,2025-07-12 22:31:54.906436+00:00
8,616.9125,2025-07-12 22:32:02.205770+00:00
8,631.3883,2025-07-12 22:32:09.508885+00:00
8,654.5774,2025-07-12 22:32:16.807566+00:00
8,707.4736,2025-07-12 22:32:24.116062+00:00
8,664.9516,2025-07-12 22:32:31.425213+00:00
8,708.5041,2025-07-12 22:32:38.739332+00:00
8,640.639,2025-07-12 22:32:46.040038+00:00
8,657.2688,2025-07-12 22:32:53.348938+00:00
8,671.658,2025-07-12 22:33:00.648938+00:00
8,573.1478,2025-07-12 22:33:07.958970+00:00
8,564.9094,2025-07-12 22:33:15.260908+00:00
8,349.6387,2025-07-12 22:33:22.566710+00:00
8,350.309,2025-07-12 22:33:29.876092+00:00
8,477.4284,2025-07-12 22:33:37.172336+00:00
8,516.2011,2025-07-12 22:33:44.481871+00:00
8,504.6789,2025-07-12 22:33:51.795034+00:00
8,496.2446,2025-07-12 22:33:59.102318+00:00
8,493.6,2025-07-12 22:34:06.419596+00:00
8,495.6497,2025-07-12 22:34:13.722410+00:00
8,566.3863,2025-07-12 22:34:21.023886+00:00
8,489.3305,2025-07-12 22:34:28.332748+00:00
8,487.0634,2025-07-12 22:34:35.640140+00:00
8,597.6597,2025-07-12 22:34:42.953791+00:00
8,597.5697,2025-07-12 22:34:50.268105+00:00
8,592.2544,2025-07-12 22:34:57.580575+00:00
8,591.436,2025-07-12 22:35:04.885645+00:00
8,587.5887,2025-07-12 22:35:12.194592+00:00
8,659.3312,2025-07-12 22:35:19.500936+00:00
8,663.5033,2025-07-12 22:35:26.801412+00:00
8,657.0847,2025-07-12 22:35:34.110135+00:00
8,652.8964,2025-07-12 22:35:41.404195+00:00
8,623.7651,2025-07-12 22:35:48.704204+00:00
8,487.429,2025-07-12 22:35:56.018431+00:00
8,581.7991,2025-07-12 22:36:03.327608+00:00
8,578.3002,2025-07-12 22:36:10.641813+00:00
8,579.931,2025-07-12 22:36:17.955246+00:00
8,576.9523,2025-07-12 22:36:25.260940+00:00
